Student_ID,Q1_Matric_Subject,Q2_Intermediate_Program,Q3_Grade_Bucket,Q4_Math_Aptitude,Q5_Verbal_Skills,Q6_Creative_Interest,Q7_Tech_Orientation,Q8_Study_Duration,Q9_Work_Environment,Q10_Career_Track
1,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,3,4,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
2,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),5,3,3,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
3,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,5,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
4,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),2,4,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
5,Science with Computer Science,FA / Humanities,70% – 80% (A Grade),4,3,3,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
6,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,4,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
7,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
8,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),1,5,4,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
9,Science with Biology,FA / Humanities,Above 80% (A-1 Grade),3,4,3,1,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
10,Science with Computer Science,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),4,3,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
11,Science with Computer Science,ICS (Intermediate in Computer Science),60% – 70% (B Grade),4,3,4,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
12,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,5,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
13,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,3,4,4,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
14,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),2,4,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
